Start Time,Stop Time,Motion
2025-03-20 11:34:26.276650,2025-03-20 11:34:31.525810,walking
2025-03-20 11:34:36.800841,2025-03-20 11:34:38.706451,squat
2025-03-20 11:34:42.907913,2025-03-20 11:34:44.891388,squat
2025-03-20 11:34:49.787708,2025-03-20 11:34:56.025881,walking
2025-03-20 11:35:05.553104,2025-03-20 11:35:06.689003,jumping_jack
2025-03-20 11:35:08.591907,2025-03-20 11:35:11.014568,jumping_jack
2025-03-20 11:35:15.260664,2025-03-20 11:35:16.334392,jumping_jack
2025-03-20 11:35:22.623789,2025-03-20 11:35:24.742682,lunges
2025-03-20 11:35:28.435746,2025-03-20 11:35:30.214975,lunges
2025-03-20 11:35:39.090861,2025-03-20 11:35:44.380347,walking
2025-03-20 11:35:48.188654,2025-03-20 11:35:50.690452,lunges
2025-03-20 11:35:52.324807,2025-03-20 11:35:54.028089,lunges
2025-03-20 11:36:00.964201,2025-03-20 11:36:01.635913,jumping_jack
2025-03-20 11:36:06.131726,2025-03-20 11:36:07.590477,jumping_jack
2025-03-20 11:36:17.965584,2025-03-20 11:36:22.944010,walking
2025-03-20 11:36:27.679752,2025-03-20 11:36:31.300903,squat
2025-03-20 11:36:36.109933,2025-03-20 11:36:44.609011,walking
2025-03-20 11:36:55.340029,2025-03-20 11:36:56.523677,jumping_jack
2025-03-20 11:36:59.798382,2025-03-20 11:37:01.854181,jumping_jack
2025-03-20 11:37:09.652872,2025-03-20 11:37:12.059575,squat
2025-03-20 11:37:26.342633,2025-03-20 11:37:27.904327,walking
2025-03-20 11:37:29.579449,2025-03-20 11:37:39.971445,walking
2025-03-20 11:37:48.563478,2025-03-20 11:37:51.726407,walking
2025-03-20 11:37:54.998015,2025-03-20 11:37:58.881291,walking
2025-03-20 11:38:05.923398,2025-03-20 11:38:07.333627,jumping_jack
2025-03-20 11:38:09.161161,2025-03-20 11:38:09.833640,jumping_jack
2025-03-20 11:38:12.706067,2025-03-20 11:38:14.203779,lunges
2025-03-20 11:38:54.128155,2025-03-20 11:38:56.913178,lunges
