Start Time,Stop Time,Motion
2025-04-03 21:25:25.738499,2025-04-03 21:25:30.485614,walking
2025-04-03 21:25:32.748928,2025-04-03 21:25:37.519216,walking
2025-04-03 21:25:39.184911,2025-04-03 21:25:43.263612,walking
2025-04-03 21:25:44.949266,2025-04-03 21:25:49.609357,walking
2025-04-03 21:25:51.247808,2025-04-03 21:25:57.320422,walking
2025-04-03 21:25:59.852204,2025-04-03 21:26:08.481751,walking
2025-04-03 21:26:10.912048,2025-04-03 21:26:17.114671,walking
2025-04-03 21:26:18.894819,2025-04-03 21:26:26.026218,walking
2025-04-03 21:26:28.233175,2025-04-03 21:26:31.729332,walking
2025-04-03 21:26:33.613835,2025-04-03 21:26:35.277957,walking
2025-04-03 21:26:36.855654,2025-04-03 21:26:39.783421,walking
2025-04-03 21:26:41.282903,2025-04-03 21:26:52.089060,walking
2025-04-03 21:26:53.805248,2025-04-03 21:27:03.026990,walking
2025-04-03 21:27:04.823741,2025-04-03 21:27:07.930496,walking
2025-04-03 21:27:09.282573,2025-04-03 21:27:11.588917,walking
2025-04-03 21:27:12.764332,2025-04-03 21:27:18.448602,walking
2025-04-03 21:27:20.214286,2025-04-03 21:27:26.436311,walking
2025-04-03 21:27:27.897723,2025-04-03 21:27:34.700007,walking
2025-04-03 21:27:36.404539,2025-04-03 21:27:44.401501,walking
2025-04-03 21:27:46.307648,2025-04-03 21:27:53.227613,walking
2025-04-03 21:28:03.729192,2025-04-03 21:28:14.289816,walking
2025-04-03 21:28:16.291237,2025-04-03 21:28:26.496973,walking
2025-04-03 21:28:29.933745,2025-04-03 21:28:33.237829,walking
2025-04-03 21:28:47.794860,2025-04-03 21:29:10.228780,walking
2025-04-03 21:29:19.623204,2025-04-03 21:29:41.643109,walking
2025-04-03 21:29:48.645202,2025-04-03 21:30:03.673147,walking
2025-04-03 21:30:13.186826,2025-04-03 21:30:25.744650,walking
2025-04-03 21:30:28.413727,2025-04-03 21:30:34.072683,walking
