type,seq,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data,datetime
CSI_DATA,7627,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252212202,0,83,0,128,1,"[83,-80,4,0,19,-9,19,-10,19,-11,19,-12,19,-13,19,-14,18,-15,18,-15,18,-16,18,-17,18,-17,18,-17,19,-17,19,-16,19,-15,18,-14,18,-13,17,-12,16,-11,14,-11,13,-11,12,-12,11,-12,11,-13,12,-14,3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3,17,-8,19,-8,20,-6,22,-5,23,-3,24,-1,24,1,23,3,22,3,20,2,19,1,18,0,18,-2,18,-5,19,-6,20,-7,22,-7,24,-8,25,-8,26,-7,26,-7,26,-7,26,-6,25,-6,24,-7,23,-7]",2025-02-28 11:00:35.125766
CSI_DATA,7628,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252243683,0,83,0,128,1,"[83,-80,4,0,-15,-17,-16,-16,-16,-16,-17,-16,-18,-15,-19,-14,-19,-14,-19,-14,-20,-14,-20,-14,-21,-14,-21,-14,-21,-14,-21,-14,-20,-14,-18,-14,-18,-14,-17,-14,-15,-13,-15,-12,-14,-10,-14,-9,-15,-8,-15,-9,-16,-9,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-13,-15,-13,-17,-12,-19,-11,-20,-10,-22,-8,-24,-7,-24,-5,-24,-4,-23,-4,-21,-5,-19,-6,-18,-8,-17,-10,-17,-12,-18,-13,-19,-14,-20,-14,-21,-15,-22,-15,-23,-15,-23,-14,-23,-13,-23,-13,-22,-13,-21,-13,-21]",2025-02-28 11:00:35.156252
CSI_DATA,7629,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252276254,0,83,0,128,1,"[83,-80,4,0,22,-1,22,-2,22,-3,22,-3,22,-4,22,-5,22,-5,22,-6,22,-7,22,-7,22,-7,23,-7,23,-7,23,-7,23,-6,22,-5,21,-4,20,-3,19,-3,17,-3,16,-4,15,-5,14,-6,15,-6,16,-6,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,19,-2,20,-1,21,1,22,4,22,6,22,7,21,9,20,10,19,10,17,9,16,7,16,6,17,4,18,3,20,2,21,1,23,2,24,2,25,2,26,3,26,3,26,4,25,4,24,3,23,3,23,2]",2025-02-28 11:00:35.192729
CSI_DATA,7630,78:98:e8:a4:c1:20,-39,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252309471,0,83,0,128,1,"[83,-80,4,0,-9,5,-8,6,-8,6,-8,6,-8,7,-8,7,-8,7,-7,7,-7,7,-7,8,-7,7,-8,8,-8,8,-8,8,-8,7,-7,7,-7,7,-7,6,-7,5,-6,5,-5,5,-5,5,-5,5,-5,6,-5,6,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1,-8,5,-9,4,-10,4,-10,3,-11,2,-11,2,-11,1,-11,0,-11,0,-10,0,-9,0,-8,1,-8,2,-8,3,-9,3,-9,4,-10,4,-11,5,-11,5,-11,5,-12,5,-11,4,-11,4,-11,4,-10,4,-10,4]",2025-02-28 11:00:35.220219
CSI_DATA,7631,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252342299,0,83,0,128,1,"[83,-80,4,0,-24,8,-24,9,-24,10,-23,11,-23,12,-22,13,-22,13,-22,14,-22,14,-22,15,-22,15,-23,15,-24,15,-24,15,-23,14,-23,13,-22,12,-21,11,-20,9,-18,9,-16,9,-15,10,-14,11,-15,11,-16,12,-4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,2,-20,8,-22,7,-24,6,-26,4,-27,2,-28,0,-28,-2,-27,-4,-25,-4,-23,-4,-21,-3,-21,-1,-21,1,-22,3,-23,5,-25,6,-26,6,-28,6,-29,7,-30,7,-30,6,-30,5,-30,5,-28,5,-27,5,-26,5]",2025-02-28 11:00:35.256534
CSI_DATA,7632,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252375184,0,83,0,128,1,"[83,-80,4,0,-11,18,-10,19,-9,19,-8,20,-7,21,-6,21,-6,22,-5,23,-5,23,-5,24,-5,24,-5,24,-5,24,-5,24,-6,23,-6,21,-7,20,-6,19,-6,18,-5,17,-4,15,-3,15,-2,15,-1,16,-2,17,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,4,-9,16,-10,17,-13,17,-15,17,-17,17,-19,16,-21,14,-21,13,-21,11,-19,10,-17,10,-15,10,-14,12,-13,13,-12,15,-12,17,-13,19,-14,20,-15,21,-16,22,-17,22,-17,21,-17,21,-17,20,-16,19,-15,19]",2025-02-28 11:00:35.293002
CSI_DATA,7633,78:98:e8:a4:c1:20,-43,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252408326,0,83,0,128,1,"[83,-80,4,0,-16,-14,-17,-13,-18,-13,-19,-11,-20,-10,-21,-9,-21,-9,-22,-9,-23,-9,-23,-9,-23,-9,-23,-10,-23,-10,-23,-10,-22,-10,-21,-10,-20,-10,-18,-10,-17,-9,-16,-8,-15,-6,-15,-4,-16,-4,-17,-4,-17,-4,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-3,-13,-13,-14,-15,-14,-17,-13,-19,-12,-22,-11,-23,-9,-24,-7,-24,-6,-23,-5,-21,-5,-20,-6,-18,-8,-16,-10,-16,-12,-16,-14,-16,-15,-17,-17,-18,-18,-19,-19,-20,-19,-21,-18,-21,-17,-22,-17,-21,-16,-20,-15,-19]",2025-02-28 11:00:35.325893
CSI_DATA,7634,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252441330,0,83,0,128,1,"[83,-80,4,0,-2,23,0,23,2,23,3,23,5,23,6,23,7,23,8,24,9,25,9,25,8,26,8,26,9,27,8,27,7,26,6,25,5,24,4,22,4,20,4,18,5,16,6,15,8,15,9,16,9,17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,-1,20,-2,22,-4,24,-7,25,-9,26,-12,26,-14,25,-16,24,-16,22,-15,19,-13,18,-11,17,-9,17,-7,19,-5,21,-4,23,-4,25,-4,27,-3,28,-4,29,-5,30,-5,30,-6,30,-6,29,-6,27,-5,27]",2025-02-28 11:00:35.354038
CSI_DATA,7635,78:98:e8:a4:c1:20,-43,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252474135,0,83,0,128,1,"[83,-80,4,0,-8,-20,-9,-20,-10,-20,-11,-18,-13,-18,-14,-17,-15,-18,-15,-18,-16,-18,-17,-18,-17,-18,-17,-19,-17,-19,-16,-20,-15,-19,-14,-19,-13,-18,-12,-17,-11,-16,-11,-14,-11,-12,-11,-11,-12,-10,-13,-11,-14,-11,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-5,-6,-18,-6,-20,-5,-22,-4,-24,-2,-25,0,-26,2,-26,4,-25,5,-24,5,-22,4,-20,2,-19,0,-18,-2,-18,-4,-20,-6,-21,-6,-23,-7,-24,-8,-25,-8,-26,-7,-27,-7,-27,-6,-27,-6,-26,-6,-25,-6,-24]",2025-02-28 11:00:35.392424
CSI_DATA,7636,78:98:e8:a4:c1:20,-42,11,1,7,0,1,1,0,1,0,1,-97,0,5,0,252509473,0,83,0,128,1,"[83,-80,4,0,21,4,21,2,21,1,21,-1,21,-2,21,-3,22,-4,22,-4,23,-5,23,-5,23,-5,24,-5,24,-5,24,-4,23,-4,22,-3,21,-2,19,-2,18,-2,16,-2,15,-3,14,-5,14,-5,15,-6,16,-6,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,3,19,4,20,6,21,9,21,11,21,13,20,15,19,16,17,16,15,15,14,14,14,12,15,10,16,8,18,6,20,6,21,6,23,6,24,6,25,7,26,7,26,8,25,9,24,9,24,8,23,8]",2025-02-28 11:00:35.423788
