Start Time,Stop Time,Motion
2025-03-20 11:50:17.637161,2025-03-20 11:50:27.266166,walking
2025-03-20 11:50:31.511448,2025-03-20 11:50:33.554134,squat
2025-03-20 11:50:35.398976,2025-03-20 11:50:36.975182,squat
2025-03-20 11:50:42.388338,2025-03-20 11:50:44.657950,squat
2025-03-20 11:50:46.855552,2025-03-20 11:50:48.408664,squat
2025-03-20 11:50:52.495378,2025-03-20 11:50:54.024008,lunges
2025-03-20 11:50:56.176189,2025-03-20 11:50:57.592834,lunges
2025-03-20 11:50:59.902621,2025-03-20 11:51:01.349739,lunges
2025-03-20 11:51:06.762748,2025-03-20 11:51:07.685002,jumping_jack
2025-03-20 11:51:09.179567,2025-03-20 11:51:10.461842,jumping_jack
2025-03-20 11:51:12.697969,2025-03-20 11:51:13.538624,jumping_jack
2025-03-20 11:51:14.124882,2025-03-20 11:51:14.445589,jumping_jack
2025-03-20 11:51:30.791244,2025-03-20 11:51:38.217560,walking
2025-03-20 11:51:43.450728,2025-03-20 11:51:44.592295,jumping_jack
2025-03-20 11:51:45.698849,2025-03-20 11:51:46.748680,jumping_jack
2025-03-20 11:51:48.153516,2025-03-20 11:51:48.663178,jumping_jack
2025-03-20 11:51:49.353566,2025-03-20 11:51:50.094122,jumping_jack
2025-03-20 11:51:50.748880,2025-03-20 11:51:51.421397,jumping_jack
2025-03-20 11:51:59.186630,2025-03-20 11:52:00.953985,squat
2025-03-20 11:52:02.447235,2025-03-20 11:52:04.228233,squat
2025-03-20 11:52:05.702579,2025-03-20 11:52:07.370179,squat
2025-03-20 11:52:08.744330,2025-03-20 11:52:10.125877,squat
2025-03-20 11:52:12.806429,2025-03-20 11:52:13.473343,squat
2025-03-20 11:52:21.071911,2025-03-20 11:52:31.642132,walking
2025-03-20 11:52:37.849768,2025-03-20 11:52:38.464434,squat
2025-03-20 11:52:39.974758,2025-03-20 11:52:41.383047,squat
2025-03-20 11:52:42.762262,2025-03-20 11:52:43.952218,squat
2025-03-20 11:52:47.108341,2025-03-20 11:52:48.603296,lunges
2025-03-20 11:52:50.395731,2025-03-20 11:52:51.926641,lunges
2025-03-20 11:52:53.591494,2025-03-20 11:52:55.188156,lunges
2025-03-20 11:52:56.710306,2025-03-20 11:52:58.086332,lunges
2025-03-20 11:53:03.115330,2025-03-20 11:53:03.854163,jumping_jack
2025-03-20 11:53:04.738551,2025-03-20 11:53:05.573247,jumping_jack
2025-03-20 11:53:06.292087,2025-03-20 11:53:07.158626,jumping_jack
2025-03-20 11:53:07.947929,2025-03-20 11:53:08.696957,jumping_jack
2025-03-20 11:53:09.418634,2025-03-20 11:53:10.235657,jumping_jack
2025-03-20 11:53:13.191580,2025-03-20 11:53:22.168911,walking
2025-03-20 11:53:28.663166,2025-03-20 11:53:30.158629,squat
2025-03-20 11:53:31.612597,2025-03-20 11:53:32.878924,squat
2025-03-20 11:53:34.428074,2025-03-20 11:53:35.771780,squat
2025-03-20 11:53:37.197959,2025-03-20 11:53:38.204204,squat
